scraproduct_name,product_price,product_rating
ICHINTA SAMBAL PETAI/ SAMBAL HITAM PETAI/ ASAM PEDAS (TWISTED CLUSTER BEAN SAUCE/ TWISTED CLUSTER BEAN IN BLACK SAUCE/SPICY AND SOUR SAUCE) By Ichinta Dot Com (Pack of 3 Flavours) (UK STOCK)),12.37,3.00
HennaDEAZ  Organic Henna Eyebrow Tint,13.00,0
Daging Dendeng D’Astana (Beef Jerky),4.00,0
‘KREPEKLICIOUSZ’ KREPEK (CHIPS -Kerepek Pisang Tanduk Masin (Banana Chips) – 500g) By SMD Food Empire,6.00,0
‘BONDA’ FISH SERUNDING ASLI KAMPUNG LAUT By SERAYA GARAGE ENTERPRISE,5.00,0
Magic Lipstick 24k Gold Paper By Papier-Mache. co,8.00,0
‘EATME’ MALAYSIAN COOKIE TREATS – Pineapple Cheese Tart By Eatme By AJ Enterprise,8.00,0
‘nu-caffe’ PERFORMAN  By Biotropics Malaysia Berhad,10.00,0
‘PETANI’ HEALTH & VITALITY BEVERAGE FOR WOMEN By Syarikat Zulkifli Bamadhaj Sdn Bhd,3.40,0
THE PRISTINE MAWAR (ROSE WATER MIST) By DK F&B Solution (Pack of 5),9.00,0
‘KUDAP STATION’ STEAMED FRUIT CAKE By KUDAP STATION,6.00,0
TRADITIONAL KUIH KARAS by Zularis Enterprise,3.20,0
SAMBAL JAHEK HITAM (SPICY BLACK SAUCE) By Jahek Global (Pack of 2),6.00,0
‘ ACIK ‘ NEK DAH RENDANG PASTE (RENDANG MINANG PASTE/ RENDANG TOK PASTE) By Restoran Acik (Both Flavours),2.00,0
PINEAPPLE TART (XL)  By Darr Nasa Enterprise,7.00,0
TART NANAS HARMONI KAK MALA (PINEAPPLE TARTS) By Perniagaan Roti Kek Dan Biskut Harmoni,2.60,0
TAZE COCONUT WATER POWDER By Mia Million Sdn Bhd,4.00,0
Flash Card Felt ABC Uppercase,12.00,0
NASWA COLLECTION by Naswa,36.00,0
OCAH TRADITIONAL MALAYSIAN  KERUTUK PASTE – by Ocah Foods,6.00,0
LACTOMOMMA Lactation Cookies – by LNH Global (Pack of 2),18.00,0
BABY HAIR AND BODY OIL SWEET (100ml),13.50,0
BABY HAIR AND BODY OIL LAVENDER (230ml),25.00,0
GUMASH WUDHU COMPLIANCE HAIR COLOUR – RED,22.65,0
KOPYCUBE – Arabica Coffee with Natural Sugar,7.50,0
MEXBLU Habbatus Sauda 400mg Nigella Sativa,8.50,0
MEXBLU Habbatus Sauda 400mg Nigella Sativa,1.50,0
Dendeng Daging Xtra Cili + White Rice,4.50,0
Cooking Paste by Mama Ain,3.50,0
Crispy Fried Shallots by Q Energy,2.20,0
Dendeng Daging Xtra Cili with White Rice,4.50,0
Telon Oil,5.45,0
Herbal Bath Sachets – 25g Malaysian Hereditary Recipe,1.99,0
Ginger Lotion (130ml),4.50,0
Lemongrass Oil,5.00,0
Malaysian Pickled Stinky Bean ( Petai Jeruk),3.00,0
CHICKEN KUZI – READY TO EAT – TOKWAN KITCHEN,8.00,0
Syilis Extra Hot Chilli Paste – 250G,6.00,0
Confinement Mini Kit,28.90,0
AHAD Malaysian Beef Rendang [Ready To Eat],5.60,0
Traditional Pineapple Tart,6.00,5.00
SEROJA CHOCOLATE PEANUT BUTTER BISCUIT,8.00,0
Sarang Coffee Premium Gold (SKY FRUIT SEED EXTRACT),17.00,0
Sarang Coffee Premium Gold (SKY FRUIT SEED EXTRACT),7.00,0
Sarang Coffee Premium Gold (SKY FRUIT SEED EXTRACT),7.00,0
Mr Peyz (Salted Egg Peyek) by H2H Legacy,2.50,0
100% Pure Ceylon Cinnamon Sticks (40g),2.50,0
SHREE SPICES Pure Chili Flakes (30g) The Taste of Real Curry!,2.50,0
SHREE SPICES Pure Chili Powder (250g) The Taste of Real Curry!,4.50,0
SHREE SPICES Pure Turmeric Powder (250g) The Taste of Real Curry!,4.50,0
SHREE SPICES Garam Masala Powder (250g) The Taste of Real Curry!,5.90,0
SHREE SPICES Dhal Curry Powder – Sambar Mix (250g) The Taste of Real Curry!,4.50,0
SHREE SPICES Kurma Curry Powder (250g) The Taste of Real Curry!,4.50,0
BAHULU CERMAI –   Malaysian Madeleines,5.00,0
Pandan (Screwpine) Flavored Semperit Cookies,7.50,0
Pandan (Screwpine) Flavored Semperit Cookies,4.00,0
Pandan (Screwpine) Flavored Semperit Cookies,4.00,0
Malaysian Chocolate & Cream Semperit Cookie,7.50,0
Malaysian Chocolate & Cream Semperit Cookie,4.00,0
Malaysian Chocolate & Cream Semperit Cookie,4.00,0
Semperit Golden Biscoff,7.50,0
Semperit Golden Biscoff,4.00,0
Semperit Golden Biscoff,4.00,0
Semperit - Traditional Malaysian Cookie,7.00,0
Semperit - Traditional Malaysian Cookie,3.00,0
Semperit – Traditional Malaysian Cookie,3.00,0
Semperit Nutella Cookie,7.50,0
Semperit Nutella Cookie,3.50,0
Semperit Nutella Cookie,3.50,0
BLENNDED INGREDIENTS COOKING PASTE,3.20,0
BLENNDED INGREDIENTS COOKING PASTE,3.20,0
BLENNDED INGREDIENTS COOKING PASTE,3.20,0
BLENNDED INGREDIENTS COOKING PASTE,3.50,0
BLENNDED INGREDIENTS COOKING PASTE,3.50,0
BLENNDED INGREDIENTS COOKING PASTE,3.50,0
BLENNDED INGREDIENTS COOKING PASTE,3.20,0
BLENNDED INGREDIENTS COOKING PASTE,3.20,0
BLENNDED INGREDIENTS COOKING PASTE,3.20,0
Thai Sauce,2.08,0
BLENNDED INGREDIENTS COOKING PASTE,3.20,0
HAIR COLOR WUDHU COMPLIANCE GUMASH – Free Ammonia & Paraben,22.65,0
Self Heating Tomyam Steamboat,4.20,0
HiGOAT ORIGINAL GOAT MILK (500GM),9.00,0
Jajan Jungle [MIX COMBO] Naturally Sweet Ripe Banana & Lightly Salted Plantain Crisps 600g (50gx12 packs),9.60,0
HALAGEL Rock Salt (Combo 400g x 2 ~ 1 Pink Crystal & 1 Double Refined),1.80,0
MAKANVALLEY GIFT BOX SET,20.00,0
Sambal Bawang Putih,7.00,0
CHOCOKRUNCHY by MIA (small jar),5.00,0
Jajan Jungle Naturally Sweet Ripe Banana Crisps 600g (50gx12 packs),9.60,0
PAK MAN BEEF CURRY PASTE (ORIGINAL MELAKA)-200 grams,4.15,0
FISH CURRY PASTE (ORIGINAL MELAKA),4.15,0
MinZa Massage Oil ~ Mild Sensation,9.00,0
